StartDate,EndDate,Status,IPAddress,Progress,Durationinseconds,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Consent,gender,gender_3_TEXT,age,SM_use,SM_use_freq_1,SM_use_freq_2,SM_use_freq_3,SM_use_freq_4,SM_use_freq_5,SM_use_freq_6,SM_use_freq_7,SM_use_freq_8,SM_use_freq_9,SM_use_freq_10,SM_use_freq_11,education,employment,employment_8_TEXT,income,partisanship,state,Timer1_FirstClick,Timer1_LastClick,Timer1_PageSubmit,Timer1_ClickCount,share_intent1,Credibility1_1,Credibility1_2,Credibility1_3,Credibility1_4,Newsworthiness1_1,Newsworthiness1_2,Newsworthiness1_3,Newsworthiness1_4,Trustworthy_C1_1_1,Honest_C2_1_1,Reliable_C3_1_1,newsworth_feed1_1,newsworth_feed1_2,newsworth_feed1_3,newsworth_feed1_4,newsworth_feed1_5,attn_1_1,Timer2_FirstClick,Timer2_LastClick,Timer2_PageSubmit,Timer2_ClickCount,share_intent2,Credibility2_1,Credibility2_2,Credibility2_3,Credibility2_4,Newsworthiness2_1,Newsworthiness2_2,Newsworthiness2_3,Newsworthiness2_4,Trustworthy_C1_2_1,Honest_C2_2_1,Reliable_C3_2_1,newsworth_feed2_1,newsworth_feed2_2,newsworth_feed2_3,newsworth_feed2_4,newsworth_feed2_5,attn_1_2,Timer3_FirstClick,Timer3_LastClick,Timer3_PageSubmit,Timer3_ClickCount,share_intent3,Credibility3_1,Credibility3_2,Credibility3_3,Credibility3_4,Newsworthiness3_1,Newsworthiness3_2,Newsworthiness3_3,Newsworthiness3_4,Trustworthy_C1_3_1,Honest_C2_3_1,Reliable_C3_3_1,newsworth_feed3_1,newsworth_feed3_2,newsworth_feed3_3,newsworth_feed3_4,newsworth_feed3_5,attn_1_3,Timer4_FirstClick,Timer4_LastClick,Timer4_PageSubmit,Timer4_ClickCount,share_intent4,Credibility4_1,Credibility4_2,Credibility4_3,Credibility4_4,Newsworthiness4_1,Newsworthiness4_2,Newsworthiness4_3,Newsworthiness4_4,Trustworthy_C1_4_1,Honest_C2_4_1,Reliable_C3_4_1,newsworth_feed4_1,newsworth_feed4_2,newsworth_feed4_3,newsworth_feed4_4,newsworth_feed4_5,attn_1_4,Timer5_FirstClick,Timer5_LastClick,Timer5_PageSubmit,Timer5_ClickCount,share_intent5,Credibility5_1,Credibility5_2,Credibility5_3,Credibility5_4,Newsworthiness5_1,Newsworthiness5_2,Newsworthiness5_3,Newsworthiness5_4,Trustworthy_C1_5_1,Honest_C2_5_1,Reliable_C3_5_1,newsworth_feed5_1,newsworth_feed5_2,newsworth_feed5_3,newsworth_feed5_4,newsworth_feed5_5,attn_1_5,Timer6_FirstClick,Timer6_LastClick,Timer6_PageSubmit,Timer6_ClickCount,share_intent6,Credibility6_1,Credibility6_2,Credibility6_3,Credibility6_4,Newsworthiness6_1,Newsworthiness6_2,Newsworthiness6_3,Newsworthiness6_4,Trustworthy_C1_6_1,Honest_C2_6_1,Reliable_C3_6_1,newsworth_feed6_1,newsworth_feed6_2,newsworth_feed6_3,newsworth_feed6_4,newsworth_feed6_5,attn_1_6,Timer7_FirstClick,Timer7_LastClick,Timer7_PageSubmit,Timer7_ClickCount,share_intent7,Credibility7_1,Credibility7_2,Credibility7_3,Credibility7_4,Newsworthiness7_1,Newsworthiness7_2,Newsworthiness7_3,Newsworthiness7_4,Trustworthy_C1_7_1,Honest_C2_7_1,Reliable_C3_7_1,newsworth_feed7_1,newsworth_feed7_2,newsworth_feed7_3,newsworth_feed7_4,newsworth_feed7_5,attn_1_7,Timer8_FirstClick,Timer8_LastClick,Timer8_PageSubmit,Timer8_ClickCount,share_intent8,Credibility8_1,Credibility8_2,Credibility8_3,Credibility8_4,Newsworthiness8_1,Newsworthiness8_2,Newsworthiness8_3,Newsworthiness8_4,Trustworthy_C1_8_1,Honest_C2_8_1,Reliable_C3_8_1,newsworth_feed8_1,newsworth_feed8_2,newsworth_feed8_3,newsworth_feed8_4,newsworth_feed8_5,attn_1_8,news_per_pre_self_1,news_per_pre_self_2,news_per_pre_self_3,news_per_pre_self_4,news_per_pre_self_5,news_per_pre_self_6,news_per_pre_self_7,news_per_pre_self_8,news_per_pre_self_9,news_per_pre_self_10,news_per_pre_self_11,news_per_pre_social_1,news_per_pre_social_2,news_per_pre_social_3,news_per_pre_social_4,news_per_pre_social_5,news_per_pre_social_6,news_per_pre_social_7,news_per_pre_social_8,news_per_pre_social_9,news_per_pre_social_10,news_per_pre_social_11,news_consump_sources_1,news_consump_sources_2,news_consump_sources_3,news_consump_sources_4,news_consump_sources_5,news_consump_sources_6,news_consump_sources_7,news_consump_sources_8,news_consump_sources_9,news_consump_sources_10,news_consump_sources_11,NewsSharing_SM,NewsCred_SM,GenTech_op,AI_acceptance,yiyan1_NFO_1,yiyan1_NFO_2,yiyan1_NFO_3,yiyan1_NFO_4,yiyan1_NFO_5,yiyan1_NFO_6,yiyan2_pub_int_1,yiyan2_pub_int_2,yiyan2_pub_int_3,yiyan2_pub_int_4,yiyan2_pub_int_5,yiyan2_pub_int_6,yiyan3_alg_know_1,yiyan3_alg_know_2,yiyan3_alg_know_3,yiyan3_alg_know_4,yiyan3_alg_know_5,yiyan3_alg_know_6,yiyan3_alg_know_7,yiyan3_alg_know_8,yiyan3_alg_know_9,yiyan3_alg_know_10,yiyan3_alg_know_11,yiyan4_aware,yiyan5_alg_aware_1_1,yiyan5_alg_aware_1_2,yiyan5_alg_aware_1_3,yiyan5_alg_aware_1_4,yiyan5_alg_aware_1_5,yiyan5_alg_aware_1_6,yiyan5_alg_aware_1_7,yiyan5_alg_aware_2_1,yiyan5_alg_aware_2_2,yiyan5_alg_aware_2_3,yiyan5_alg_aware_2_4,yiyan6_attitude,yiyan7_fami_program_1,yiyan7_fami_program_2,yiyan7_fami_program_3,yiyan7_fami_program_4,yiyan7_fami_program_5,yiyan7_fami_program_6,yiyan7_fami_program_7,intro1_1,con1_2,con2_1,con2_2,con3_exp,con3_1,con3_2,con4_exp,con4_1,con4_2,con5_1,con5_2,con6_1,con6_2,personalization_awar,news_per_post_self_1,news_per_post_self_2,news_per_post_self_3,news_per_post_self_4,news_per_post_self_5,news_per_post_self_6,news_per_post_self_7,news_per_post_self_8,news_per_post_self_9,news_per_post_self_10,news_per_post_self_11,news_per_post_social_1,news_per_post_social_2,news_per_post_social_3,news_per_post_social_4,news_per_post_social_5,news_per_post_social_6,news_per_post_social_7,news_per_post_social_8,news_per_post_social_9,news_per_post_social_10,news_per_post_social_11,feed_typefour,valence,feed_type,share_all,Credibility_1,Credibility_2,Credibility_3,Credibility_4,NW_1,NW_2,NW_3,NW_4,credavg_all,nwavg_all
8/28/23 10:04,8/28/23 10:14,0,223.74.33.33,100,627,1,8/28/23 10:15,R_1Qu6H388ydlHSeU, , , , ,22.9326,112.0409,anonymous,EN,.899999976, ,0,0, ,1,2, ,2000,1,2,1,6,1,4,1,5,1,4,1,1,5,7, ,1,1,56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.806,47.754,49.972,19,4,4,2,2,1,2,4,5,5,6,5,6,2,2,4,5,2,2, , , , , , , , , , , , , , , , , , , , , , ,3,4,5,5,5,4,4,5,5,5,5,4,4,3,5,4,4,5,5,5,5,5,2,2,1,4,5,5,5,5,5,1,3,1,2,4,2,10,10,10,10,9,9,4,4,5,5,2,2,2,1,2,2,2,3,2,1,2,2,1,9,2,2,2,2,2,2,2,1,2,2,2,3,2,4,4,4,2,4,4, , , , , , , , , , , , , , ,4,4,5,5,5,5,4,5,5,5,5,5,4,4,4,5,5,4,5,5,5,5,5,3,2,act,4,4,2,2,1,2,4,5,5,2.25,4
8/28/23 13:12,8/28/23 13:21,0,27.47.132.247,100,560,1,8/28/23 13:21,R_3p2SXxi6T4r8rz0, , , , ,23.1181,113.2539,anonymous,EN,.899999976, ,0,5, ,1,2, ,1982,1,4,4,6,1,6,1,6,1,2,6,1,5,2, ,2,15,56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.926,23.157,26.58,18,4,2,3,2,2,3,4,4,5,4,8,3,4,3,4,4,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,5,4,5,5,5,5,5,4,5,4,4,5,4,4,4,5,5,5,5,5,1,4,1,3,4,4,4,5,5,1,2,3,2,1,2,9,7,9,9,10,8,2,3,3,2,1,2,3,1,2,1,3,2,1,1,3,2,1,10,2,2,1,2,2,1,2,2,2,1,2,4,4,4,3,2,1,5,5, , , , , , , , , , , , , , ,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,1,2,news,4,2,3,2,2,3,4,4,5,2.25,4
8/28/23 20:45,8/28/23 21:01,0,120.230.121.204,100,987,1,8/28/23 21:01,R_33mrSDmuC83A86U, , , , ,23.1181,113.2539,anonymous,EN,1, ,0,0, ,1,2, ,1988,1,5,4,6,1,4,1,4,2,4,2,1,6,1, ,4,1,40, , , , , , , , , , , , , , , , , , , , , , ,5.455,26.253,29.153,8,2,3,3,2,2,4,4,3,2,5,4,4,4,3,3,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,5,5,3,4,5,3,3,3,4,3,3,5,4,5,3,4,4,4,5,4,3,3,2,2,4,4,3,4,4,4,4,3,2,3,3,7,8,8,7,7,8,2,4,2,3,2,2,1,2,2,2,2,3,1,1,2,1,1,8,2,1,2,2,2,2,2,1,2,1,2,3,2,4,4,3,2,4,4, , , , , , , , , , , , , , ,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,memes,2,3,3,2,2,4,4,3,2,2.5,3.25
8/28/23 22:47,8/28/23 22:56,0,139.189.62.152,100,509,1,8/28/23 22:56,R_2qn4T99kfa8eZxR, , , , ,20.0342,110.3465,anonymous,EN, , ,0,0, ,1,1, ,1988,1,4,6,6,6,6,2,6,6,5,6,2,6,1, ,2,15,38, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,24.199,0,4,4,4,4,4,4,4,4,4,8,7,6,4,4,4,4,2,2, , , , , , , , , , , , , , , , , , , , , , ,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,5,5,4,3,3,3,3,4,4,4,4,4,4,3,2,2,3,1,9,9,9,9,9,9,4,4,4,4,4,2,2,2,2,2,2,2,1,2,2,2,1,9,2,1,2,2,2,1,2,2,2,2,2,3,2,3,3,2,3,4,4, , , , , , , , , , , , , , ,4,4,4,4,4,3,4,4,3,4,3,4,3,4,4,4,4,4,4,4,3,3,4,3,2,act,4,4,4,4,4,4,4,4,4,4,4
8/29/23 3:34,8/29/23 3:52,0,120.230.133.13,100,1101,1,8/29/23 3:52,R_3rIKwGo9WzMh7lH, , , , ,23.1181,113.2539,anonymous,EN,1, ,0,0, ,1,1, ,1979,3,4,4,5,4,2,2,4,1,4,1,2,5,2, ,2,1,56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,34.347,0,4,4,3,3,4,4,3,3,3,7,6,7,4,4,3,3,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,3,3,3,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,2,3,2,2,4,4,4,4,2,2,2,3,2,2,3,9,9,8,8,8,8,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2,3,3,8,2,2,2,2,2,2,2,2,1,2,2,4,3,3,3,3,2,4,4, , , , , , , , , , , , , , ,4,4,3,4,3,4,4,4,3,3,3,3,5,4,4,5,4,3,5,4,4,3,4,2,2,memes,4,4,3,3,4,4,3,3,3,3.5,3.25
8/29/23 4:13,8/29/23 4:19,0,39.191.208.190,100,365,1,8/29/23 4:19,R_1BWy1SFO3HrtsfH, , , , ,28.4634,119.9129,anonymous,EN, , ,0,0, ,1,1, ,2000,1,1,2,6,1,6,1,6,1,6,2,6,5,5, ,1,15,48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.056,22.382,23.101,11,4,2,3,2,1,1,4,5,4,7,4,6,1,3,3,4,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,3,1,1,1,1,4,5,4,3,3,3,3,1,4,2,1,9,9,8,7,9,7,2,5,5,5,3,2,2,2,2,1,2,1,2,1,2,2,1,8,2,2,2,1,2,2,1,2,2,2,2,4,1,3,2,3,1,2,2, , , , , , , , , , , , , , ,2,5,5,4,4,3,5,5,1,2,5,4,2,4,3,4,5,3,3,3,2,5,5,3,1,act,4,2,3,2,1,1,4,5,4,2,3.5
8/29/23 5:15,8/29/23 5:21,0,218.26.159.154,100,339,1,8/29/23 5:21,R_3BOKLdbfCFCxQLn, , , , ,37.8648,112.5636,anonymous,EN, , ,0,20, ,1,1, ,1974,1,1,5,5,1,5,1,5,1,1,5,5,6,1, ,4,15,38, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,26.908,0,3,3,3,3,3,3,3,2,3,6,6,5,3,3,2,3,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,4,3,2,3,4,3,3,3,3,3,3,3,4,3,2,3,3,3,3,3,3,3,1,3,4,1,4,1,4,4,3,1,1,1,3,8,8,8,7,8,9,1,1,1,1,1,2,2,2,2,2,1,1,2,2,2,3,2,8,2,1,2,2,1,1,2,2,1,1,2,4,3,2,3,3,3,3,4, , , , , , , , , ,17, , , , ,3,4,3,3,3,3,4,3,3,2,3,2,3,2,2,3,3,3,3,3,3,4,3,1,2,news,3,3,3,3,3,3,3,2,3,3,2.75
8/29/23 6:52,8/29/23 6:57,0,120.232.211.240,100,319,1,8/29/23 6:57,R_1mz6SJ5TmSiUOvw, , , , ,29.5689,106.5577,anonymous,EN, , ,0,30, ,1,1, ,1998,2,4,5,6,5,5,2,4,2,6,4,4,5,1, ,4,15,56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,24.633,0,3,3,3,2,2,2,2,3,4,4,5,5,2,2,3,2,4,2,4,5,4,3,3,4,5,4,4,2,3,4,4,4,2,2,4,3,4,4,3,2,2,3,2,3,4,4,4,4,3,3,2,3,2,2,2,8,8,7,7,9,8,3,2,4,3,3,2,1,2,1,2,2,2,2,1,2,2,1,8,2,2,1,2,2,1,1,1,2,2,2,3,3,3,4,3,4,3,3, , , , , , , , , , , , , , ,3,4,3,4,3,3,3,3,3,3,2,2,4,3,3,3,4,4,4,4,3,2,2,4,2,ad,3,3,3,2,2,2,2,3,4,2.5,2.75
8/29/23 8:11,8/29/23 8:42,0,111.30.228.153,100,1823,1,8/29/23 8:42,R_2rwju2s77BPnFFT, , , , ,39.1488,117.1762,anonymous,EN, , ,0,0, ,1,2, ,1997,1,2,5,5,2,2,2,5,2,4,2,4,4,7, ,9,15,38, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.68,37.901,38.654,10,2,3,3,3,3,3,3,4,3,4,4,4,3,3,3,3,3,2, , , , , , , , , , , , , , , , , , , , , , ,4,4,4,4,4,4,3,4,4,3,4,3,4,4,4,3,4,3,3,4,3,4,2,3,2,1,2,2,2,3,3,3,3,4,3,3,2,8,8,8,8,8,9,2,3,3,3,2,2,2,3,2,3,2,3,1,2,2,3,3,10,2,2,2,2,2,2,1,2,2,2,2,3,2,2,3,2,2,3,2, , , , , , , , , , , , , , ,4,4,4,3,3,3,4,3,3,3,3,3,4,4,4,4,4,4,3,4,4,4,4,3,2,act,2,3,3,3,3,3,3,4,3,3,3.25
8/30/23 2:52,8/30/23 3:01,0,112.17.235.5,100,529,1,8/30/23 3:01,R_1OOUR7MeS48ndWP, , , , ,27.996,120.6664,anonymous,EN, , ,0,0, ,1,2, ,2002,1,6,6,6,2,5,5,6,4,5,4,4,5,7, ,1,5,48, , , , , , , , , , , , , , , , , , , , , , ,2.598,22.893,23.669,18,2,3,3,3,4,4,4,5,3,9,9,8,4,5,4,4,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,5,4,4,4,4,4,4,4,4,5,5,5,4,4,5,4,4,2,4,5,5,3,4,1,2,4,4,4,5,4,5,3,2,4,1,1,8,9,9,8,9,9,4,4,2,4,1,2,2,2,2,2,2,2,1,2,2,2,1,9,2,1,2,2,2,2,2,2,2,2,2,4,5,2,2,2,2,4,2, , , , , , , , , , , , , , ,2,4,4,2,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,2,1,memes,2,3,3,3,4,4,4,5,3,3.25,4
8/30/23 2:57,8/30/23 3:08,0,123.5.96.188,100,683,1,8/30/23 3:08,R_0oh7S4T8wWRMgQp, , , , ,23.1181,113.2539,anonymous,EN, , ,0,0, ,1,1, ,1998,3,2,2,4,4,4,2,2,2,1,1,2,2, , ,9,15,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.983,29.029,30.472,9,2,3,2,3,1,3,3,2,4,3,6,2,3,4,2,2,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,3,3,3,3,4,4,2,2,3,3, ,3,2,2, ,4,3,3,3,4,1,3,2,1,3,1,3,1,3,2,2,3,2,3,2,9,8,8,7,8,6,3,2,3,3,2,2,1,1,3,1,3,1,2,2,2,3,1,8,1,1,1,2,2,2,2,1,2,1,2,3,2,2,3,2,4,1,4, , , , , , , , , , , , , , ,3,3,4,4,3,3,2,3,4,3,2,3, ,3,3,2,4,3, ,3,2,2,3,4,1,ad,2,3,2,3,1,3,3,2,4,2.25,3
8/30/23 3:32,8/30/23 3:40,0,42.228.18.234,100,450,1,8/30/23 3:40,R_esntwm9vobfoK65, , , , ,34.7599,113.6459,anonymous,EN, , ,0,0, ,1,1, ,1990,1,5,4,6,4,6,2,5,5,5,4,4,5,1, ,3,5,53,0,0,31.075,0,3,4,3,4,4,3,4,3,3,7,7,7,3,4,3,3,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4,4,5,5,4,4,5,4,5,4,5,5,5,5,5,5,4,4,4,4,4,2,3,2,2,4,4,4,4,5,4,3,2,2,2,3,9,9,9,9,9,8,4,4,4,4,3,2,2,2,1,2,2,2,1,1,2,2,1,9,2,2,2,2,2,2,2,2,2,2,2,4,3,4,4,3,2,3,4, , , , , , , , , , , , , , ,4,5,5,4,5,4,5,4,4,4,4,4,5,5,4,4,4,5,5,4,4,4,4,1,1,news,3,4,3,4,4,3,4,3,3,3.75,3.25
8/30/23 3:45,8/30/23 3:55,0,110.52.4.39,100,610,1,8/30/23 3:55,R_zdjEdZjZnMD2ZwJ, , , , ,27.8329,113.1454,anonymous,EN,0, ,0,5, ,1,2, ,2000,1,5,6,4,1,1,1,6,1,2,1,1,5,1, ,1,15,55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.723,30.739,31.19,10,4,5,5,3,3,3,5,5,3,7,7,7,4,3,4,2,2,2,4,5,5,3,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,1,3,1,3,4,5,1,5,5,5,2,5,3,1,3,9,9,10,10,10,7,3,3,3,2,1,2,2,1,3,3,2,2,1,3,2,3,1,9,2,2,2,2,2,1,2,2,2,2,1,4,4,3,4,3,2,3,3, , , , , , , , , , , , , , ,3,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,ad,4,5,5,3,3,3,5,5,3,4,4
8/31/23 4:38,8/31/23 4:46,0,114.249.236.247,100,458,1,8/31/23 4:46,R_1IK00SHQzi2T35G, , , , ,39.911,116.395,anonymous,EN, , ,0,0, ,1,1, ,1996,1,4,1,6,5,5,1,4,4,1,1,2,4,2, ,3,14,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,.457,23.405,24.382,30,4,4,3,3,4,3,4,4,2,7,6,7,2,4,4,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2,4,5,2,5,5,4,2,2,5,5,5,5,5,4,4,5,5,4,5,1,1,1,1,5,4,5,5,5,3,2,1,2,1,1,10,10,9,7,10,9,4,5,5,4,4,2,1,2,2,2,2,2,2,2,2,2,1,9,1,1,1,2,2,1,1,2,2,2,2,3,5,5,4,4,2,5,2, , , , , , , , , , , , , , ,4,4,5,5,5,5,5,5,5,5,2,2, ,5,5,5,5,5,5,5,5,5,5,4,1,ad,4,4,3,3,4,3,4,4,2,3.5,3.25
8/31/23 6:15,8/31/23 6:23,0,113.117.216.226,100,506,1,8/31/23 6:23,R_1pRuMYFIW27A3H4, , , , ,22.5326,113.3646,anonymous,EN, , ,0,40, ,1,1, ,2002,1,6,6,6,4,6,6,6,5,6,6,4,5,1, ,2,15,56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,.924,35.604,36.901,46,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,2,5,5,5,5,5,4,5,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,3,5,3,4,3,5,5,5,5,5,4,2,2,1,3,10,10,10,10,10,10,5,5,5,1,2,2,2,1,2,2,2,2,1,1,2,2,1,9,2,2,2,2,2,2,2,2,2,2,2,4,3,4,4,4,4,5,4, , , , , , , , , ,8, , , , ,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,ad,1,1,1,1,1,1,1,2,1,1,1.25
8/31/23 7:52,8/31/23 8:03,0,171.107.174.130,100,631,1,8/31/23 8:03,R_3QEqpLFaVob5NXI, , , , ,22.8111,108.3168,anonymous,EN, , ,0,0, ,1,1, ,1997,2,6,4,5,2,4,5,6,4,5,5,1,4,2, ,3,1,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.498,38.849,40.001,23,3,5,4,5,5,4,5,5,1,7,8,7,5,4,4,2,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4,4,4,3,3,5,3,5,3,4,3,3,4,4,4,5,3,4,5,4,4,3,4,4,4,5,4,3,4,4,4,5,2,2,2,2,9,8,10,9,9,8,4,3,4,5,5,2,3,3,2,1,2,2,2,3,3,2,2,8,1,2,1,2,2,1,2,2,1,2,2,4,2,3,3,4,4,4,5, , , , , , , , , , , , , , ,4,4,5,4,4,5,5,3,5,3,3,2,4,3,3,3,4,4,4,5,3,5,3,3,1,act,3,5,4,5,5,4,5,5,1,4.75,3.75
8/31/23 9:05,8/31/23 9:28,0,220.160.24.197,100,1369,1,8/31/23 9:28,R_2zGCJhR729m0QJR, , , , ,25.8977,119.3827,anonymous,EN, , ,0,0, ,1,1, ,1990,1,5,4,6,4,4,2,6,2,6,5,6,6,1, ,4,15,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,68.695,0,5,5,5,4,5,5,4,4,1,9,10,9,5,4,4,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,5,5,5,4,5,5,5,5,5,4,4,5,5,5,4,5,5,5,5,5,4,4,3,4,5,5,5,5,5,4,3,1,2,1,1,10,10,10,10,9,9,5,5,5,4,1,2,2,2,2,1,2,2,1,2,2,1,1,9,2,2,1,2,2,1,2,1,2,1,2,5,5,5,4,5,4,5,5, , , , , , , , , , , , , , ,5,4,4,5,5,5,4,5,5,5,5,5,4,4,5,5,5,4,5,5,5,5,5,3,1,act,5,5,5,4,5,5,4,4,1,4.75,3.5
